CG	n_tissue
cg09179249	1
cg24929966	1
cg10053369	1
cg22513691	3
cg04896832	2
cg11949866	2
cg10891879	1
cg17244801	1
cg24075935	100
cg09354487	2
cg27563027	1
cg25463742	2
cg24102726	1
cg05742354	2
cg17944110	1
cg01551133	1
cg19731194	2
cg17480077	1
cg21116077	2
cg20253574	1
cg01191660	6
cg02153855	2
cg07842409	1
cg11153172	1
cg19757631	1
cg13686362	1
cg01436771	8
cg12177942	5
cg21099221	1
cg09501892	2
cg22228043	1
cg18435880	2
cg24726995	1
cg19919800	10
cg04872475	1
cg04440027	1
cg15139248	3
cg11750962	1
cg06632353	1
cg07029998	1
cg08734093	1
cg24863624	1
cg14854718	2
cg10315903	19
cg04400047	1
cg07803781	1
cg22400548	4
cg05369428	1
cg12092561	3
cg21296749	3
cg22002075	5
cg20692414	1
cg01368812	2
cg16138910	1
cg08861844	1
cg14966878	1
cg10964330	9
cg00857963	2
cg09790470	1
cg13986670	1
cg25276694	2
cg13875012	1
cg26829322	1
cg27513495	11
cg17515155	5
cg24664312	1
cg06084702	193
cg02397176	5
cg21420090	1
cg03498897	1
cg06630737	4
cg06994589	1
cg27541882	4
cg21826784	1
cg15449870	1
cg17350448	2
cg21864959	1
cg23952195	1
cg08269394	1
cg10221637	4
cg14032528	2
cg14472778	3
cg07970642	1
cg11726288	1
cg02847674	5
cg09581756	10
cg04779720	1
cg18533883	1
cg07585427	153
cg13885623	1
cg22927043	1
cg04313552	15
cg05155371	1
cg02101693	1
cg12222095	1
cg05523254	1
cg23372422	11
cg15059389	1
cg15570296	1
cg01942719	1
cg05080566	1
cg14834850	3
cg07017135	1
cg24427243	17
cg20706495	1
cg15819646	2
cg00155063	2
cg09081517	29
cg13836770	2
cg09557991	3
cg13471521	1
cg22676023	1
cg11726754	1
cg25283284	2
cg25218417	14
cg00059737	14
cg04275506	1
cg15929771	2
cg10039523	15
cg13466988	1
cg05654304	1
cg07101654	5
cg10798815	44
cg15135803	1
cg07242540	3
cg06641388	2
cg09517873	1
cg00776782	1
ch.1.471396R	2
cg20390613	1
cg11157076	1
cg12377113	74
cg04291383	6
cg17878878	49
cg13394110	2
cg17824277	2
cg22225207	1
cg14793826	4
cg24594454	2
cg11178863	2
cg13788258	2
cg00700041	1
cg06980853	5
cg26341058	5
cg25286482	32
cg21819468	2
cg05140069	1
cg09804380	1
cg11791751	1
cg17271677	1
cg07596209	1
cg16680547	1
cg10953378	2
cg26608693	2
cg19359071	1
cg23267665	1
cg03988675	1
cg21605566	9
cg27307327	1
cg15568145	1
cg19806020	2
cg03580831	5
cg22781249	11
cg13686807	1
cg23803120	2
cg17810211	6
cg22693638	6
cg09858767	2
cg24734254	3
cg21449897	2
ch.1.505031R	1
cg21012125	2
cg13107839	4
cg17785202	40
cg02852847	9
cg22396057	20
cg11964773	1
cg02927252	9
cg22507756	2
cg19626253	3
cg00101629	6
cg05033389	15
cg14976342	73
cg05043339	56
cg00763594	1
cg16663033	1
cg26164710	2
cg27290274	6
cg11157208	11
cg13322252	1
cg03538296	10
cg00866953	1
cg17657618	1
cg20375690	1
cg24535573	1
cg16858898	1
cg00188746	8
cg05385377	1
cg04029421	12
cg10313278	2
cg00582948	1
cg25215654	2
cg02774015	1
cg23598254	2
cg25978218	2
cg06358218	1
cg21858823	3
cg12138346	6
cg25845331	6
cg24483825	2
cg02612026	3
cg17855783	1
cg11706911	1
cg05141711	1
cg15036616	1
cg13390004	1
cg01769457	2
cg17965764	1
cg15700020	1
cg03987806	1
cg09559551	1
cg10232936	3
cg04781115	9
cg00782260	2
cg01429859	1
cg25980637	1
cg05694089	3
cg05960182	5
cg00960197	1
cg24735235	3
cg09178529	5
cg09826002	6
cg10274502	1
cg14793291	1
cg15135704	1
cg08653403	20
cg06996372	1
cg08643472	2
cg07810927	2
cg20703523	1
cg27051433	1
cg22492252	1
cg07437033	1
cg04655804	2
cg24140574	1
cg11421972	1
cg06521827	41
cg26112999	2
cg21660130	1
cg03745244	2
cg25851313	7
cg22711082	2
cg05347380	2
cg10536101	8
cg08869231	3
cg26003814	1
cg15074789	3
cg00953309	2
cg07207833	1
cg15517098	1
cg21647035	1
cg16886895	1
cg23072161	2
cg06538426	6
cg11467639	2
cg03887218	1
cg05764238	2
cg00662782	1
cg02287573	3
cg16312002	3
cg14163966	5
cg22816278	1
cg14093570	1
cg09234164	3
cg01467503	34
cg06971005	8
cg17081645	1
cg03136512	1
cg20389653	5
cg15881444	1
cg21911326	1
cg09507771	2
cg02769477	1
cg14995274	1
cg05740418	14
cg07138646	1
cg22050733	1
cg21304454	1
cg05985737	7
cg17434062	3
cg13115616	19
cg00087273	1
cg03601920	1
cg00569276	7
cg27576785	1
cg08877463	1
cg12654045	5
cg08277548	2
cg17785802	2
cg03547640	1
cg12643633	1
cg21813265	1
cg08141956	1
cg12447589	2
cg01346589	1
cg25607239	1
cg04794690	1
cg22945605	1
cg10123662	1
cg18641151	2
cg25979543	1
cg24600987	1
cg14780070	2
cg09145019	1
cg18759743	1
cg08714895	1
cg00586058	1
cg23986578	3
cg17479716	7
cg25197238	1
cg08244959	16
cg24690231	4
cg07091548	2
cg03259703	1
cg17217879	1
cg19585156	2
cg11767181	1
cg01448470	2
cg08279194	2
cg17943995	1
cg09845941	1
cg04237608	1
cg13840174	2
cg23010629	3
cg19732340	1
cg17156862	14
cg20200200	2
cg13507429	1
cg03772253	1
cg10574377	1
cg16108710	6
cg25769417	1
cg07221967	2
cg05052324	1
cg00065215	1
cg08164371	8
cg08549396	2
cg13207345	2
cg06178299	11
cg01797257	1
cg12596040	1
cg10205548	1
cg04276953	10
cg14831539	1
cg26530301	1
cg11704005	1
cg20932535	1
cg15082028	2
cg24875000	2
cg12751456	25
cg26220594	4
cg13786083	1
cg15642772	1
cg00925953	2
cg03960908	23
cg07947459	2
cg04088289	1
cg22390041	1
cg21728447	2
cg15675456	1
cg11697440	5
cg10582648	1
cg21913775	2
cg08530036	1
ch.1.659794R	4
cg15070710	8
cg17239185	1
cg04351236	3
cg21867457	1
cg10748867	35
cg06833078	1
cg18931421	1
cg21808345	1
cg06837242	1
cg05688084	1
cg24328054	1
cg17906803	1
cg17431922	1
cg05348366	1
cg04928049	1
cg15676500	1
cg25141181	1
cg14614792	1
cg24439190	4
cg23711554	23
cg06788764	2
cg13100118	1
cg22045437	1
cg03076210	1
cg09262552	1
cg12593394	2
cg12539171	1
cg05380846	1
cg07147364	1
cg27549720	4
cg04607131	2
cg01468656	1
cg10741760	1
cg03056854	2
cg25939380	1
cg14220777	1
cg25277397	3
cg03134147	74
cg25974901	1
cg19521927	8
cg17086204	1
cg03987246	5
cg06090867	2
cg04552470	2
cg06444282	6
cg17023923	1
cg26831566	1
cg01084154	1
cg17331494	5
cg26315261	1
cg16814796	1
cg16730824	1
cg00447682	1
cg09473576	1
cg14477205	1
cg15015194	1
cg17543296	3
cg24718617	5
cg14151682	1
cg20697630	1
cg24608458	51
cg21499909	2
cg12446953	1
cg25469870	1
cg03149628	2
cg19758033	1
cg26063862	2
cg03888765	1
cg08890418	2
cg01054622	1
cg18486150	1
cg05129477	2
cg24673385	1
cg18864674	1
cg16172837	1
cg07603881	1
cg19078903	10
cg02927042	104
cg00583332	1
cg04236915	1
cg16385763	1
cg08794135	4
cg22054164	1
cg00960509	2
cg16829306	1
cg07981328	27
cg25601136	2
cg17015803	1
cg15212266	39
cg16270485	1
cg08898868	1
cg14529891	1
cg24117274	1
cg21694350	1
cg18150885	1
cg18438124	1
cg02760280	7
cg11753100	3
cg09722556	1
cg13403586	1
cg00574196	22
cg02459271	1
cg18941458	1
cg12257830	1
cg25138553	2
cg13215285	1
cg13357518	1
cg24075852	5
cg14380609	4
cg02729506	1
cg12274479	1
cg03114585	1
cg15691003	1
cg22392501	1
cg18327107	1
cg08608952	5
cg03519931	1
cg04562522	2
cg21297673	2
cg03133269	1
cg07090424	1
cg20986665	79
cg17841765	2
cg22350048	6
cg02053477	1
cg00456299	2
cg09180171	1
cg22685052	1
cg27579233	81
cg07233952	4
cg13437164	3
cg17740093	1
cg08710757	18
cg23676784	2
cg10088685	2
cg14041976	3
cg00937518	1
cg00831127	3
cg04099056	1
cg12717584	1
cg24368899	1
cg24444923	2
cg21010191	1
cg04886391	1
cg22683154	7
cg03967533	5
cg10946871	3
cg12483005	3
cg26530045	10
cg11333835	5
cg17753666	9
cg13930080	12
cg23038015	1
cg08651124	1
cg11811391	1
cg24466277	7
cg00023024	2
cg06886867	1
cg11724055	3
cg21273013	1
cg21197435	1
cg16272777	21
cg05139070	1
cg15598244	1
cg16240683	8
cg18167160	6
cg01015663	1
cg23651976	1
cg12621203	1
cg07356011	1
cg27447006	5
cg02951134	1
cg11855842	1
cg01000553	139
cg22040403	1
cg21211748	1
cg02978140	25
cg13977835	1
cg19532954	1
cg20485144	80
cg27518976	13
cg07422195	5
cg23664396	1
cg00944142	1
cg22613968	2
cg08883487	2
cg24406162	47
cg22968727	1
cg23250439	1
cg17020154	3
cg02907300	1
cg22198425	1
cg12717729	8
cg25880573	88
cg23813870	1
cg13468252	2
cg24044651	1
cg15988345	1
cg23617676	1
cg16902244	1
cg13180787	1
cg04975205	1
cg24454698	4
cg26737766	1
cg06902898	1
cg21523719	4
cg15997130	2
cg17085844	2
cg04460567	8
cg25973374	1
cg05560725	2
cg22077361	1
cg24672624	2
cg03750587	1
cg22401419	1
cg10881359	1
cg16312972	3
cg01840215	1
cg12639293	1
cg11337018	1
cg26835312	2
cg10146267	1
cg15571353	1
cg19739126	1
cg23259394	2
cg12757705	1
cg20242797	4
cg21289280	6
cg23820945	1
cg14222140	1
cg26935265	1
cg22675447	34
cg06718763	1
cg00591489	3
cg25140783	1
cg00716040	5
cg09895325	1
cg12628260	1
cg09874213	1
cg10698549	2
cg07111988	4
ch.1.829344F	5
cg03971828	1
cg00101986	1
cg12820395	2
cg15451272	1
cg24883333	1
cg15729771	1
cg10894102	5
cg04489851	9
cg26672794	1
cg15014975	2
cg26256263	8
cg00117172	2
cg25470148	1
cg17462478	2
cg22856539	1
cg12131219	1
cg21257635	1
cg12595736	1
cg22902270	4
cg13488557	3
cg21367040	2
cg23935120	1
cg13795696	2
cg05062148	8
cg16387947	4
cg21269758	1
cg21400344	4
cg06080267	1
cg16836311	2
cg05670408	2
cg04116354	83
cg16176834	2
cg05127636	4
cg19897113	3
cg07574241	9
cg12749636	1
cg21187265	3
cg11688628	1
cg24596570	8
cg03534305	1
cg08304059	7
cg02745632	1
cg01380356	1
cg16486059	1
cg22943243	2
cg20741185	2
cg20320936	2
cg13378886	12
cg03210277	1
cg09518245	65
cg14519120	1
cg03518664	3
cg02858843	1
cg16174809	1
cg19632574	3
cg15547662	4
cg20383084	1
cg07821739	2
cg23978062	2
cg00349061	2
cg13998293	35
cg19411708	1
cg25817752	1
cg13223043	2
cg15543769	1
cg18231848	1
cg00540238	2
cg20415053	1
cg00478361	1
cg21855617	109
cg12744634	1
cg14017991	1
cg24859158	1
cg01294686	1
cg10402321	1
cg14082413	1
cg01614726	1
cg00852783	4
cg22517705	9
cg16491530	3
cg17436025	1
cg09634659	55
cg05770238	1
cg15090202	3
cg18118033	1
cg04028874	2
cg23605843	2
cg22029297	1
cg05768558	1
cg07095205	4
cg18634211	5
cg19706817	2
cg19084589	1
cg04985610	2
cg17218045	7
cg08876662	1
cg14254745	2
cg06758143	1
cg14989462	1
cg21644096	1
cg17154022	7
cg14214685	1
cg19621076	11
cg10800585	1
cg22512670	3
cg26515186	6
cg00359365	1
cg20690782	2
cg02802060	1
cg05445839	1
cg00371107	5
cg25601319	2
cg14851949	1
cg11856093	9
cg15050577	2
cg16701767	1
cg03123091	3
cg24544309	1
ch.1.893309F	9
cg08231251	1
cg07782886	2
cg01791104	8
cg14557189	1
cg18289893	7
cg18028470	4
cg04354805	1
cg20275072	2
cg22530691	1
cg25271147	1
cg21290647	1
cg13354046	1
cg07956264	1
cg17796198	9
cg10504737	1
cg13399755	1
cg05954817	1
cg26606628	2
cg12203394	2
cg25841309	11
cg23463742	1
cg12396969	1
cg24943329	1
cg02555074	1
cg12699080	2
cg19027507	3
cg14610217	9
cg05642308	3
cg07399977	1
cg10504885	1
cg11673687	4
cg25130381	1
cg22481448	1
cg26151283	1
cg11743054	1
cg13230208	2
cg08459369	1
cg00757789	2
cg15665653	6
cg26060536	45
cg01396034	1
cg07376753	1
cg27265272	1
cg03347170	1
cg09766323	1
cg12399453	1
cg23652939	1
cg07961632	1
cg00851518	1
cg01730970	2
cg00111948	1
cg27223343	1
cg20651453	2
cg20775044	1
cg19979773	1
cg10785977	2
cg13380502	10
cg12112929	8
cg09588020	2
cg24926121	106
cg21870784	1
cg16406658	1
cg26601722	4
cg16397480	1
cg22075791	1
cg06204838	1
cg25132696	1
cg17798192	1
cg15694146	1
cg03604774	26
cg24527636	1
cg12610832	1
cg24442740	2
cg06381964	1
cg06851898	1
cg20485084	8
cg10037521	1
cg14181576	1
cg00065048	4
cg22351924	9
cg07806674	1
cg21422909	1
cg04405266	1
cg18186552	2
cg05385496	1
cg03766823	1
cg16903618	17
cg12728097	2
cg05492605	1
cg04111436	1
ch.1.928723R	1
cg06936079	1
cg25015504	1
cg27182070	13
cg11542231	1
cg01928145	1
ch.1.933676F	2
cg19808587	1
cg18138866	1
cg26058965	3
cg01877196	1
cg09822291	17
cg16834431	1
cg02251754	8
cg09551864	7
cg15099410	1
cg25973092	1
cg13931707	9
cg13075278	3
cg04889884	1
cg13577188	1
ch.1.944912R	3
cg05769206	1
cg13784878	84
cg08123074	2
cg24469114	1
cg22238707	2
cg16013618	1
cg26419621	1
cg01018002	6
cg25596287	3
cg19409133	3
cg01551176	2
cg22163490	1
cg07398558	1
cg02779230	1
cg10691259	4
cg07944736	1
cg21438252	1
cg15601452	1
cg16724557	4
cg01198591	2
cg02447380	1
ch.1.28801140F	1
cg03915268	1
cg13148469	1
cg09798313	25
cg07898057	1
cg26106034	3
cg15700489	1
cg11336539	1
cg16817034	13
cg02396143	1
cg03375056	2
cg03731740	95
cg07397372	1
cg21735376	2
cg12451155	2
cg20280170	88
cg08366446	3
cg18141828	2
cg09970593	8
cg18189938	2
cg18883836	1
cg20407522	1
cg02446871	1
cg00866556	1
cg13548601	3
cg16117248	2
cg03357664	1
cg10165585	1
cg23905374	1
cg15980492	5
cg24481441	7
ch.1.976694F	1
cg19901472	6
cg12802086	1
cg23987876	1
cg05673731	1
cg21787390	1
cg00914222	2
cg05039004	1
cg11747820	2
cg01115565	2
cg17504737	8
cg09810059	6
cg10585371	5
cg20145426	4
cg20013177	58
ch.1.30340112R	1
cg04567140	1
cg10947350	1
cg12700145	3
cg03749154	5
cg27543334	2
cg03736085	1
cg18138172	1
cg13203239	3
cg17461278	5
cg14183455	1
cg01022916	2
cg06747288	2
cg25204088	2
cg25468274	1
cg27559870	1
cg08161802	1
cg19653440	2
cg07959046	1
cg08136313	2
cg08849613	14
cg22866085	1
cg24710886	1
ch.1.1026209F	1
cg18232347	4
cg20941758	7
cg05960997	6
cg03895221	7
cg22706424	2
cg08778586	1
cg05226707	1
cg11517378	1
cg16530130	21
cg23726483	2
cg11573219	15
cg18325794	13
cg05536984	2
cg11824662	1
cg24540109	1
cg09255732	5
cg04577212	1
cg11968071	2
cg07016511	1
cg20608783	4
cg24839533	1
cg15469507	5
cg01653445	1
cg15694605	13
cg13069920	1
cg17786844	1
cg05714732	6
cg27539046	20
cg02955361	1
cg15210307	24
cg10241671	1
cg17462394	1
cg11738286	1
cg26692791	1
cg13785196	2
cg07919197	1
cg20466166	1
cg22348752	1
cg17105151	1
cg10892587	1
cg13704271	3
cg00760321	1
cg23885562	1
cg16512755	1
cg27582994	1
cg15726025	1
cg08129048	1
cg07656362	1
cg09756525	1
cg07033820	1
cg04556220	1
cg02830936	151
cg22602019	1
cg12710152	1
cg07376381	3
cg10250177	3
cg23018091	4
cg22710219	3
cg09327628	2
cg26856257	1
cg05936895	2
cg08843283	1
cg00873050	1
cg10249224	1
cg02450981	4
cg01555014	1
cg12064008	1
cg06622968	1
cg15654964	1
cg03439662	3
cg04718145	56
cg02906823	2
cg10316989	1
cg24438085	2
cg13065299	1
cg04260867	34
cg05797186	1
cg11229946	1
cg16396527	1
cg20740619	1
cg26131911	1
cg22358606	1
cg22350438	4
cg26305881	2
cg13902189	2
cg17716617	2
cg06786238	2
cg05695699	1
cg00423597	1
cg26816552	1
cg02504327	1
cg12646952	3
cg25368083	44
cg00668227	1
cg15125626	1
cg13306164	1
cg09871079	1
cg15626665	1
cg17832212	10
cg09665311	1
cg27287498	1
cg23012731	1
cg19647301	1
cg15822908	1
cg23811096	2
cg01620569	1
cg07926531	1
cg26833830	1
cg22189725	1
cg03962411	2
cg17932726	5
cg25274008	1
cg25342005	2
cg11249066	2
cg02824873	2
cg11481793	1
cg08868202	5
cg07888692	6
cg08864344	1
cg17858486	41
cg06179749	1
cg25005345	1
cg01741932	1
cg20825110	222
cg00418068	1
cg13640100	1
cg19082496	33
cg14713217	16
cg02487499	1
cg22795212	1
cg04159098	7
cg01443433	1
cg05810883	18
cg17486066	1
cg05723953	1
cg18327772	1
cg27559224	1
cg17904797	2
cg21102477	3
cg23921342	13
cg21681396	13
cg15654121	2
cg25772827	2
cg24018609	8
cg19228118	2
cg22697574	4
cg04025150	1
cg24411961	3
cg16348470	1
cg18328755	3
cg16241309	26
cg15204286	2
cg10834893	1
cg24629356	1
cg23686632	4
cg00416130	4
cg07070934	1
cg27312872	2
cg27444150	1
cg17225465	12
cg15355395	1
cg03119215	2
cg15837382	1
cg26228266	4
cg11951427	1
cg18113535	2
cg18852567	3
cg14887752	11
cg12126857	2
cg14420116	18
cg12653570	2
cg05860313	2
cg08213098	1
cg10440447	2
cg08734053	1
cg03754582	1
cg08876899	2
cg26666968	24
cg23686365	1
cg17448137	1
cg06060497	18
cg14615266	1
cg13254203	2
cg24719193	1
cg24344221	1
cg20797674	1
cg24525364	1
cg14314614	5
cg16996242	3
cg21199093	10
cg11254527	3
cg12212217	4
cg11983385	7
cg17971961	32
cg16015113	7
cg14962509	4
cg26372517	4
cg03611100	3
cg09863786	8
cg12413579	2
cg24109894	4
cg21460382	49
cg09109122	2
cg09417503	8
cg00957688	3
cg15966349	8
cg17417054	3
cg00463507	7
cg06100291	1
cg16019273	1
cg16311344	1
cg06046369	1
cg13675280	3
cg03604172	1
cg01324793	2
cg09863749	7
cg22615819	6
cg03988279	1
cg11089071	1
cg15142192	22
cg19644018	1
cg12277532	4
cg19046959	1
cg22380322	2
cg04482628	1
cg18795461	2
cg00039326	1
cg05134831	1
cg04194405	1
cg00115101	1
cg16358438	56
cg19373545	1
cg13446200	1
cg09315264	1
cg19412669	12
cg15573879	3
cg17971578	1
cg07175367	1
cg08168306	1
cg20948151	1
cg27439456	15
cg16583330	1
cg00578252	2
cg11798976	2
cg03954991	1
cg08624588	1
cg01873305	31
cg20745381	1
ch.1.1180380F	1
cg11836212	3
ch.1.1187063R	3
cg03654504	5
cg04510788	1
cg08004425	8
cg16599703	1
cg06165395	1
cg25139084	6
cg09363841	22
cg26196106	5
ch.1.1189675R	1
cg19322065	2
cg01765111	5
cg14838566	4
cg00025643	1
cg03129643	2
cg03140118	1
cg24635860	3
cg26007664	1
cg19680850	5
cg22872135	1
cg13401533	4
cg22437405	4
cg06956098	3
cg20412250	1
cg01950247	1
cg26624273	2
cg12696750	1
cg12413421	58
cg12391690	9
cg03654735	12
cg10573018	5
cg13054119	2
cg06626655	3
cg16688500	1
cg16580496	1
cg14522793	1
cg15626777	4
cg08641750	2
cg21306240	2
cg07447922	1
cg18537001	3
cg01796781	1
cg06959800	1
cg04879451	1
cg27628961	3
cg00563699	1
cg27314760	19
cg11908852	1
cg00764894	33
cg09550293	2
cg18451016	1
cg20561908	5
cg05045781	1
cg00716675	1
cg13064049	6
cg15504459	1
cg06452576	1
cg19769760	5
cg08599259	19
cg13149116	2
cg18755829	2
cg15689121	10
cg06994832	1
cg11851218	1
cg03324654	52
cg26803725	1
cg02983950	2
cg08713722	1
cg25031670	18
cg11817961	3
cg07015554	3
cg09814029	2
cg11391637	1
cg06546406	4
cg21848143	1
cg22022568	1
cg19250639	47
cg09110148	4
cg02860281	2
cg27526758	36
cg09938328	1
cg22850304	1
cg21785781	1
cg00521598	1
cg01562897	2
cg16266893	5
cg25214684	1
cg19370322	1
cg13549152	12
cg19675684	1
cg14656441	5
cg09071280	1
cg26906273	10
cg20286956	9
cg22174844	1
cg17431079	4
cg24370375	12
cg08944940	1
cg10316899	1
cg24159575	2
cg14893456	2
cg06380157	1
cg15947940	1
cg10523966	1
cg03664992	1
cg11704876	1
cg11742479	100
cg12425180	1
cg12388775	1
cg15623149	1
cg04977528	1
cg12634306	1
cg07951355	1
cg06357371	4
cg00990022	6
cg00036110	2
cg18438793	36
cg00974095	87
cg19314945	1
cg18285309	1
cg11462533	2
cg25031380	1
cg18217145	2
cg02297616	1
cg16312870	25
cg16600869	12
cg00295382	3
cg16163765	8
cg08063724	1
cg10390736	1
cg27173717	2
cg16796590	2
cg26908611	1
cg26690232	1
cg15719572	1
cg15672675	1
cg21410633	2
cg15392351	1
cg01015662	5
cg07405182	1
cg04865976	1
cg16524762	1
cg17853006	1
cg01771444	4
cg18124737	2
cg24615751	1
cg10210510	3
cg14844588	1
cg23847109	1
cg18186394	3
cg12733396	9
cg10994596	1
cg10700435	5
cg01921777	1
cg15324448	1
cg19243939	1
cg22449337	7
cg04933954	2
cg10521267	1
cg06211871	1
cg03515933	1
cg03017091	1
cg24265747	1
cg04863573	6
cg07147358	3
cg21431125	3
cg07807690	1
cg01804284	1
cg10336144	7
cg13730534	1
cg10710306	1
cg12421282	1
cg16167741	1
cg14092259	1
cg11135080	2
cg03734229	1
cg09674251	4
cg14011415	2
cg00682386	2
cg11386025	8
cg07906262	1
cg19276343	2
cg01074104	1
cg11240320	1
cg26433208	1
cg14852486	1
cg06083001	2
cg11403890	1
cg14498674	2
cg00651103	1
cg00834379	2
cg11173422	9
cg06359703	3
cg00385863	1
cg00596048	5
cg03893446	2
cg19927540	1
cg04140553	3
cg06535675	1
cg25191304	2
cg26331625	4
cg23114964	2
cg02031397	1
cg25607920	2
cg26038582	1
cg11735008	73
cg01465596	1
cg00178427	33
cg15111398	1
cg00068412	10
cg22816091	1
cg01594290	1
cg06092502	8
cg11837471	1
cg05398883	1
cg17739643	1
cg09278187	1
cg17843212	1
cg10309580	16
cg24877558	1
cg19093397	3
cg18174678	1
cg09938518	1
cg21271174	1
cg10632214	1
cg23886509	1
cg01324543	2
cg10130860	2
cg18382599	1
cg05304761	3
cg10818219	1
cg07603685	134
cg24250588	1
cg09501274	1
cg01724006	1
cg00451039	1
cg09348084	1
cg27232866	4
cg06982917	1
cg08223760	2
cg12410370	1
cg09272642	1
cg21819604	7
cg06372967	87
cg14180916	1
cg17585197	1
cg00102166	1
cg00778807	2
cg17017394	19
cg14207654	1
cg04900427	1
cg24729378	1
cg08055377	30
cg19820058	12
cg16725097	1
cg13342625	1
cg03611809	1
cg06948408	1
cg12752420	1
cg24464789	2
cg08928753	4
cg14525270	2
cg04902265	1
cg18178715	8
cg18856478	2
cg07865091	7
cg26607641	1
cg26017709	1
cg22397520	1
cg24476096	1
cg22126803	1
cg26805306	6
cg14222275	1
cg12235622	17
cg09514055	1
cg21219903	3
cg25151532	27
cg01624937	1
cg14172596	58
cg02283735	1
cg07565499	9
cg15620905	4
cg22875872	1
cg10881128	1
cg23915699	2
cg06796515	1
cg21451504	1
cg25841161	1
cg08552254	8
cg23290313	41
cg09989037	2
cg07166795	1
cg22397365	1
cg06526872	2
cg18891020	1
cg22334962	2
cg21410961	2
cg10494282	1
cg04746587	1
cg12079362	1
cg08644360	1
cg22816909	19
cg18161654	1
cg25605771	2
cg21302562	1
cg04786667	1
cg16583987	1
cg00002837	1
cg10558063	75
cg08979573	10
cg21864563	1
cg04877567	2
cg20243285	1
cg08679985	3
cg18202456	1
cg24485408	1
cg06800578	2
cg21148737	6
cg21918595	4
cg26275242	1
cg03990984	1
cg10516823	1
cg04166874	1
cg02674114	1
cg12527478	1
cg17243637	1
cg26035323	1
cg10224098	1
cg01175682	2
cg01267315	1
cg03946896	1
cg04541474	6
cg05597624	1
cg15590950	1
cg15576900	1
cg13880950	9
cg12548634	18
cg16547629	12
cg12049688	1
cg13573582	2
cg21289461	3
cg09557643	1
cg08124156	2
cg13864586	1
cg23614413	1
cg26816438	2
cg10319709	2
cg11814539	13
cg03320492	40
cg03907454	3
ch.1.1392349R	1
cg02299542	3
cg18806997	4
cg00367463	1
cg01059432	2
cg00904574	1
cg21712663	1
cg14177943	2
cg24254387	1
cg09065413	1
cg09941208	3
cg12081325	6
cg08638697	1
cg23888281	2
cg27088716	1
cg20599096	1
cg24144893	5
cg06206218	1
cg08763292	1
cg25306442	15
cg10430904	4
cg14913111	1
cg13067634	4
cg00310044	2
cg25827112	1
cg22536808	1
cg19937480	1
cg15627031	1
cg03501596	1
cg01020792	1
cg26366459	1
cg13430104	4
cg24003273	36
cg03295098	1
cg19624765	1
cg12753895	1
cg18577128	2
cg13490827	1
cg02281178	1
cg17932810	8
cg14796305	3
cg04089800	5
cg24542714	1
cg01963221	1
cg23018400	1
cg04131943	3
cg16116949	3
cg19439810	3
cg24305381	1
cg03979582	2
cg11235697	6
cg17875957	1
cg08259313	26
cg06911238	44
cg00696472	4
cg14258341	1
cg00279790	1
cg13922291	1
cg24860169	8
cg06776173	2
cg11461030	2
cg03257575	3
cg19807257	5
cg03401357	2
cg18164611	1
cg22604316	4
cg16634661	1
cg16064097	5
cg16387850	1
cg25110126	2
cg23577350	1
cg00514268	4
cg14415160	2
cg16039867	3
cg09361491	1
cg15468907	3
cg15933935	1
cg03409548	1
cg16904686	4
cg26355472	1
cg16587623	1
cg24590395	1
cg23440155	9
cg19092343	25
cg16149574	1
cg13158571	1
cg10387890	1
cg26833303	1
cg17163737	1
cg06619077	3
cg15728320	1
cg10810752	1
cg10380348	1
cg01418261	1
cg06087421	7
cg10633601	1
cg03752218	1
cg02235261	1
cg00875272	1
cg26891410	7
cg09135016	28
cg02241397	1
cg25382472	1
cg07603056	1
cg21544236	1
cg23654174	1
cg22532312	1
cg19809499	3
cg13017614	10
cg22438763	1
cg09515767	3
cg16022575	1
cg00580340	1
cg16013720	1
cg13936452	1
cg19250799	1
cg00256155	1
cg17863681	1
cg06619906	8
cg22524657	3
cg11573238	1
cg16966340	4
cg01802640	2
cg01260146	1
cg05598581	1
cg25018801	2
cg16125989	1
cg12734688	28
cg16321568	2
cg00996053	2
cg09814448	33
cg01416168	1
cg06183287	1
cg01710865	19
cg21583160	3
cg11688378	29
cg15940724	3
cg05812697	6
cg16515477	2
cg26682094	1
cg16260421	2
cg14615336	1
cg03217897	4
cg05697849	1
cg22932804	11
cg13909533	11
cg24518017	53
cg08538032	3
cg26227005	1
cg23219859	3
cg03255135	1
cg16397870	23
cg18122419	1
cg10512745	1
cg14179581	3
cg27529871	4
cg09846084	6
cg19030579	1
cg11448896	2
cg04431629	10
cg12285988	8
cg14977066	1
cg02030141	19
cg15574895	16
cg10511332	4
cg12278631	1
cg08890084	1
cg16119852	1
cg10158674	1
cg07908422	1
cg10982358	1
cg01145389	1
cg07099107	1
cg15631690	2
cg25592206	8
cg21140898	1
cg19719311	1
cg23090529	3
cg01946966	4
cg22730412	3
cg26351104	1
cg20942910	1
cg04542977	1
cg10894072	2
cg22718891	2
cg16557308	1
cg04565274	1
cg06826908	15
cg18119485	1
cg21687300	2
cg01523285	6
cg21108691	17
cg07156238	4
cg08901888	1
cg10482750	1
cg25729041	2
cg21819024	1
cg05929645	4
cg02626152	1
cg19751897	1
cg03160895	1
cg10887547	1
cg11666690	1
