DNA	Fitness Score	Fitness Rank	Sign
cg04821009	('CG_of_ESR1_regulated',)	6.851188563448221e-21	364	+
cg15543523	('CG_of_ESR1_regulator',)	6.851188563448221e-21	365	+
cg06419659	('CG_of_ESR1_regulated',)	6.605257387307899e-21	366	+
cg03109921	('CG_of_ESR1_regulated',)	6.5749695034684814e-21	367	+
cg00295293	('CG_of_ESR1_regulated',)	6.4197073116638e-21	368	+
cg07680533	('CG_of_ESR1_regulated',)	6.120184653997965e-21	369	+
cg04891053	('CG_of_ESR1_regulated',)	6.120184653997965e-21	370	+
cg04019636	('CG_of_ESR1_regulated',)	6.120184653997965e-21	371	+
cg02251243	('CG_of_ESR1_regulated',)	6.120184653997965e-21	372	+
cg02344497	('CG_of_ESR1_regulated',)	6.120184653997965e-21	373	+
cg07178968	('CG_of_ESR1_regulated',)	6.120184653997965e-21	374	+
cg05575505	('CG_of_ESR1_regulated',)	6.120184653997965e-21	375	+
cg09965679	('CG_of_ESR1_regulated',)	6.120184653997965e-21	376	+
cg27131667	('CG_of_ESR1_regulated',)	6.120184653997965e-21	377	+
cg01824511	('CG_of_ESR1_regulator',)	5.420787318454653e-21	378	+
cg04268643	('CG_of_ESR1_regulated',)	5.420787318454653e-21	379	+
cg11204444	('CG_of_ESR1_regulated',)	5.420787318454653e-21	380	+
cg05656900	('CG_of_ESR1_regulated',)	5.345548836105055e-21	381	+
cg05335893	('CG_of_ESR1_regulated',)	5.345548836105055e-21	382	+
cg06112894	('CG_of_ESR1_regulated',)	5.345548836105055e-21	383	+
cg15897423	('CG_of_ESR1_regulated',)	5.345548836105055e-21	384	+
cg02152417	('CG_of_ESR1_regulated',)	5.303133167532924e-21	385	+
cg17432135	('CG_of_ESR1_regulated',)	5.303133167532924e-21	386	+
cg22966065	('CG_of_ESR1_regulated',)	5.303133167532924e-21	387	+
cg06327814	('CG_of_ESR1_regulated',)	5.186690987565978e-21	388	+
cg00874605	('CG_of_ESR1_regulated',)	5.186690987565978e-21	389	+
cg09805405	('CG_of_ESR1_regulated',)	4.755209735781555e-21	390	+
cg03539765	('CG_of_ESR1_regulated',)	4.717793982608562e-21	391	+
cg01750375	('CG_of_ESR1_regulated',)	4.717793982608562e-21	392	+
cg14158583	('CG_of_ESR1_regulated',)	4.717793982608562e-21	393	+
cg23164938	('CG_of_ESR1_regulator', 'CG_of_ESR1_regulated')	4.697244662877277e-21	394	+
cg01017395	('CG_of_ESR1_regulated',)	4.603735831989612e-21	395	+
cg04077668	('CG_of_ESR1_regulated',)	4.603735831989612e-21	396	+
cg02882530	('CG_of_ESR1_regulated',)	4.603735831989612e-21	397	+
cg03350366	('CG_of_ESR1_regulated',)	4.603735831989612e-21	398	+
cg04155231	('CG_of_ESR1_regulated',)	4.603735831989612e-21	399	+
cg01991934	('CG_of_ESR1_regulated',)	4.603735831989612e-21	400	+
cg04820773	('CG_of_ESR1_regulated',)	4.603735831989612e-21	401	+
cg18981946	('CG_of_ESR1_regulated',)	4.603735831989612e-21	402	+
cg01315201	('CG_of_ESR1_regulated',)	4.487293652022668e-21	403	+
cg01833755	('CG_of_ESR1_regulated',)	4.487293652022668e-21	404	+
cg03978658	('CG_of_ESR1_regulated',)	4.055812400238243e-21	405	+
cg06250841	('CG_of_ESR1_regulated',)	4.055812400238243e-21	406	+
cg06022562	('CG_of_ESR1_regulated',)	4.052216399935464e-21	407	+
cg06880420	('CG_of_ESR1_regulated',)	4.018261510611456e-21	408	+
cg07204874	('CG_of_ESR1_regulated',)	4.018261510611456e-21	409	+
cg06647928	('CG_of_ESR1_regulated',)	4.018261510611456e-21	410	+
cg04469998	('CG_of_ESR1_regulated',)	4.018261510611456e-21	411	+
cg05041265	('CG_of_ESR1_regulated',)	4.018261510611456e-21	412	+
cg06974428	('CG_of_ESR1_regulated',)	4.018261510611456e-21	413	+
cg00936935	('CG_of_ESR1_regulated',)	4.018261510611456e-21	414	+
cg00817464	('CG_of_ESR1_regulated',)	4.018261510611456e-21	415	+
cg07052041	('CG_of_ESR1_regulated',)	4.018261510611456e-21	416	+
cg04216240	('CG_of_ESR1_regulated',)	4.018261510611456e-21	417	+
cg17081955	('CG_of_ESR1_regulated',)	4.018261510611456e-21	418	+
cg13421038	('CG_of_ESR1_regulated',)	4.018261510611456e-21	419	+
cg16773127	('CG_of_ESR1_regulated',)	4.018261510611456e-21	420	+
cg15733055	('CG_of_ESR1_regulated',)	4.018261510611456e-21	421	+
cg22277700	('CG_of_ESR1_regulated',)	4.018261510611456e-21	422	+
cg00684075	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	423	+
cg03484180	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	424	+
cg07984358	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	425	+
cg02036336	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	426	+
cg04384112	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	427	+
cg01612629	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	428	+
cg10133578	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	429	+
cg23165623	('CG_of_ESR1_regulator', 'CG_of_ESR1_regulated')	3.9007424961435215e-21	430	+
cg25772669	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	431	+
cg27057210	('CG_of_ESR1_regulated',)	3.9007424961435215e-21	432	+
cg08272268	('CG_of_ESR1_regulated',)	3.784300316176576e-21	433	+
cg07769015	('CG_of_ESR1_regulated',)	3.784300316176576e-21	434	+
cg10210571	('CG_of_ESR1_regulated',)	3.784300316176576e-21	435	+
cg18333041	('CG_of_ESR1_regulated',)	3.784300316176576e-21	436	+
cg23050442	('CG_of_ESR1_regulated',)	3.784300316176576e-21	437	+
cg06611115	('CG_of_ESR1', 'CG_of_ESR1_regulator', 'CG_of_ESR1_regulated')	3.498369499056072e-21	438	+
cg02965283	('CG_of_ESR1_regulated',)	3.498369499056072e-21	439	+
cg02512867	('CG_of_ESR1_regulated',)	3.498369499056072e-21	440	+
cg02804240	('CG_of_ESR1_regulated',)	3.498369499056072e-21	441	+
cg04366880	('CG_of_ESR1_regulated',)	3.498369499056072e-21	442	+
cg06251348	('CG_of_ESR1_regulated',)	3.498369499056072e-21	443	+
cg08266168	('CG_of_ESR1_regulated',)	3.498369499056072e-21	444	+
cg16013349	('CG_of_ESR1_regulated',)	3.498369499056072e-21	445	+
cg09757400	('CG_of_ESR1_regulated',)	3.498369499056072e-21	446	+
cg09650667	('CG_of_ESR1_regulated',)	3.498369499056072e-21	447	+
cg15884721	('CG_of_ESR1_regulated',)	3.498369499056072e-21	448	+
cg17514226	('CG_of_ESR1_regulated',)	3.498369499056072e-21	449	+
cg11807153	('CG_of_ESR1_regulated',)	3.498369499056072e-21	450	+
cg09458940	('CG_of_ESR1_regulated',)	3.498369499056072e-21	451	+
cg24212267	('CG_of_ESR1_regulated',)	3.498369499056072e-21	452	+
cg25298189	('CG_of_ESR1_regulated',)	3.498369499056072e-21	453	+
cg21562889	('CG_of_ESR1_regulated',)	3.498369499056072e-21	454	+
cg07181843	('CG_of_ESR1_regulated',)	3.415669762833593e-21	455	+
cg03545972	('CG_of_ESR1_regulated',)	3.415669762833593e-21	456	+
cg08133629	('CG_of_ESR1_regulated',)	3.415669762833593e-21	457	+
cg03286535	('CG_of_ESR1_regulated',)	3.415669762833593e-21	458	+
cg00699986	('CG_of_ESR1_regulated',)	3.415669762833593e-21	459	+
cg01248445	('CG_of_ESR1_regulated',)	3.415669762833593e-21	460	+
cg03962200	('CG_of_ESR1_regulated',)	3.415669762833593e-21	461	+
cg14487356	('CG_of_ESR1_regulator',)	3.415669762833593e-21	462	+
cg09478597	('CG_of_ESR1_regulated',)	3.415669762833593e-21	463	+
cg16932652	('CG_of_ESR1_regulated',)	3.415669762833593e-21	464	+
cg06995408	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	465	+
cg08120226	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	466	+
cg08169311	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	467	+
cg02530375	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	468	+
cg07110405	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	469	+
cg05055844	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	470	+
cg01089602	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	471	+
cg05892030	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	472	+
cg03854913	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	473	+
cg10825011	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	474	+
cg11587658	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	475	+
cg16862528	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	476	+
cg12108956	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	477	+
cg22433862	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	478	+
cg18917495	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	479	+
cg20730634	('CG_of_ESR1_regulated',)	3.3528190643921512e-21	480	+
cg10892416	('CG_of_ESR1_regulated',)	3.294853991487875e-21	481	+
cg19013262	('CG_of_ESR1_regulated',)	3.066888247271645e-21	482	+
cg09641919	('CG_of_ESR1_regulated',)	2.716272427290281e-21	483	+
cg06710195	('CG_of_ESR1_regulated',)	2.7126764269875017e-21	484	+
cg07184986	('CG_of_ESR1_regulated',)	2.4778025050228366e-21	485	+
cg15444281	('CG_of_ESR1_regulated',)	2.4778025050228366e-21	486	+
cg09915397	('CG_of_ESR1_regulated',)	2.4778025050228366e-21	487	+
cg27167602	('CG_of_ESR1_regulated',)	2.4778025050228366e-21	488	+
cg27309677	('CG_of_ESR1_regulated',)	2.4778025050228366e-21	489	+
cg04362096	('CG_of_ESR1_regulated',)	2.01327909144419e-21	490	+
cg03494429	('CG_of_ESR1_regulated',)	2.01327909144419e-21	491	+
cg07708487	('CG_of_ESR1_regulated',)	2.01327909144419e-21	492	+
cg20248954	('CG_of_ESR1_regulated',)	2.01327909144419e-21	493	+
cg24371157	('CG_of_ESR1_regulated',)	2.01327909144419e-21	494	+
cg25769883	('CG_of_ESR1_regulated',)	2.01327909144419e-21	495	+
cg04608582	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	496	+
cg06155620	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	497	+
cg01723892	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	498	+
cg00806311	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	499	+
cg05979619	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	500	+
cg04407215	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	501	+
cg00177142	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	502	+
cg00424967	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	503	+
cg04874580	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	504	+
cg01319323	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	505	+
cg07028733	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	506	+
cg04889043	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	507	+
cg00818106	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	508	+
cg07891457	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	509	+
cg08160085	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	510	+
cg00012698	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	511	+
cg02430430	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	512	+
cg02432467	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	513	+
cg04033718	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	514	+
cg03389720	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	515	+
cg05510337	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	516	+
cg01095004	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	517	+
cg00459816	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	518	+
cg03909356	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	519	+
cg00499707	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	520	+
cg02027735	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	521	+
cg01335087	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	522	+
cg08362313	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	523	+
cg14032465	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	524	+
cg16990505	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	525	+
cg10532048	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	526	+
cg19413110	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	527	+
cg19313373	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	528	+
cg27495109	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	529	+
cg21453287	('CG_of_ESR1_regulated',)	1.9927297717129045e-21	530	+
cg10740670	('CG_of_ESR1_regulated',)	1.8874634046993334e-21	531	+
cg07377519	('CG_of_ESR1_regulated',)	1.4229399911206859e-21	532	+
cg09406856	('CG_of_ESR1_regulated',)	1.4229399911206859e-21	533	+
cg02569108	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	534	+
cg05801374	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	535	+
cg05750926	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	536	+
cg06916670	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	537	+
cg07913153	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	538	+
cg01385669	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	539	+
cg05506011	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	540	+
cg01538165	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	541	+
cg04366815	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	542	+
cg04840051	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	543	+
cg00861695	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	544	+
cg07152812	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	545	+
cg05022087	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	546	+
cg07116693	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	547	+
cg02666638	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	548	+
cg25463822	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	549	+
cg18932278	('CG_of_ESR1_regulated',)	1.4023906713894019e-21	550	+
cg06431347	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	551	+
cg02762363	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	552	+
cg02686793	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	553	+
cg06149981	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	554	+
cg05312104	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	555	+
cg07744430	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	556	+
cg05312962	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	557	+
cg19880899	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	558	+
cg25736986	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	559	+
cg25695068	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	560	+
cg21951729	('CG_of_ESR1_regulated',)	1.2933324361695934e-21	561	+
cg02858826	('CG_of_ESR1_regulated',)	1.1344745876305175e-21	562	+
cg05160751	('CG_of_ESR1_regulated',)	7.029933358460899e-22	563	+
cg05036937	('CG_of_ESR1_regulated',)	7.029933358460899e-22	564	+
cg05165087	('CG_of_ESR1_regulated',)	7.029933358460899e-22	565	+
cg07672051	('CG_of_ESR1_regulated',)	7.029933358460899e-22	566	+
cg04640834	('CG_of_ESR1_regulated',)	7.029933358460899e-22	567	+
cg02638589	('CG_of_ESR1_regulated',)	7.029933358460899e-22	568	+
cg02145220	('CG_of_ESR1_regulated',)	7.029933358460899e-22	569	+
cg04494791	('CG_of_ESR1_regulated',)	7.029933358460899e-22	570	+
cg05526498	('CG_of_ESR1_regulated',)	7.029933358460899e-22	571	+
cg09366861	('CG_of_ESR1_regulated',)	7.029933358460899e-22	572	+
cg09607131	('CG_of_ESR1_regulated',)	7.029933358460899e-22	573	+
cg21422024	('CG_of_ESR1_regulated',)	7.029933358460899e-22	574	+
cg04872947	('CG_of_ESR1_regulated',)	6.993973355433118e-22	575	+
cg07110659	('CG_of_ESR1_regulated',)	6.993973355433118e-22	576	+
cg07572770	('CG_of_ESR1_regulated',)	6.993973355433118e-22	577	+
cg07207669	('CG_of_ESR1_regulated',)	6.993973355433118e-22	578	+
cg04896437	('CG_of_ESR1_regulated',)	6.993973355433118e-22	579	+
cg01466348	('CG_of_ESR1_regulated',)	6.993973355433118e-22	580	+
cg06186245	('CG_of_ESR1_regulated',)	6.993973355433118e-22	581	+
cg06650659	('CG_of_ESR1_regulated',)	6.993973355433118e-22	582	+
cg06318062	('CG_of_ESR1_regulated',)	6.993973355433118e-22	583	+
cg05264377	('CG_of_ESR1_regulated',)	6.993973355433118e-22	584	+
cg05085566	('CG_of_ESR1_regulated',)	6.993973355433118e-22	585	+
cg03747456	('CG_of_ESR1_regulated',)	6.993973355433118e-22	586	+
cg01284289	('CG_of_ESR1_regulated',)	6.993973355433118e-22	587	+
cg00011924	('CG_of_ESR1_regulated',)	6.993973355433118e-22	588	+
cg07114009	('CG_of_ESR1_regulated',)	6.993973355433118e-22	589	+
cg02384546	('CG_of_ESR1_regulated',)	6.993973355433118e-22	590	+
cg01771850	('CG_of_ESR1_regulated',)	6.993973355433118e-22	591	+
cg05398905	('CG_of_ESR1_regulated',)	6.993973355433118e-22	592	+
cg03535099	('CG_of_ESR1_regulated',)	6.993973355433118e-22	593	+
cg02704949	('CG_of_ESR1_regulated',)	6.993973355433118e-22	594	+
cg02537838	('CG_of_ESR1_regulated',)	6.993973355433118e-22	595	+
cg03027661	('CG_of_ESR1_regulated',)	6.993973355433118e-22	596	+
cg11862246	('CG_of_ESR1_regulated',)	6.993973355433118e-22	597	+
cg22493673	('CG_of_ESR1_regulated',)	6.993973355433118e-22	598	+
cg20227714	('CG_of_ESR1_regulated',)	6.993973355433118e-22	599	+
cg20739526	('CG_of_ESR1_regulated',)	6.993973355433118e-22	600	+
cg21201659	('CG_of_ESR1_regulated',)	6.993973355433118e-22	601	+
cg26373518	('CG_of_ESR1_regulated',)	6.993973355433118e-22	602	+
cg06703332	('CG_of_ESR1_regulated',)	5.903391003235039e-22	603	+
cg02838178	('CG_of_ESR1_regulated',)	5.903391003235039e-22	604	+
cg01030476	('CG_of_ESR1_regulated',)	5.903391003235039e-22	605	+
cg05338187	('CG_of_ESR1_regulated',)	5.903391003235039e-22	606	+
cg02670123	('CG_of_ESR1_regulated',)	5.903391003235039e-22	607	+
cg01256227	('CG_of_ESR1_regulated',)	5.903391003235039e-22	608	+
cg05323683	('CG_of_ESR1_regulated',)	5.903391003235039e-22	609	+
cg07997333	('CG_of_ESR1_regulated',)	5.903391003235039e-22	610	+
cg02285155	('CG_of_ESR1_regulated',)	5.903391003235039e-22	611	+
cg04714939	('CG_of_ESR1_regulated',)	5.903391003235039e-22	612	+
cg03259887	('CG_of_ESR1_regulated',)	5.903391003235039e-22	613	+
cg03388025	('CG_of_ESR1_regulated',)	5.903391003235039e-22	614	+
cg16711083	('CG_of_ESR1_regulated',)	5.903391003235039e-22	615	+
cg11823654	('CG_of_ESR1_regulated',)	5.903391003235039e-22	616	+
cg12109883	('CG_of_ESR1_regulated',)	5.903391003235039e-22	617	+
cg09424398	('CG_of_ESR1_regulated',)	5.903391003235039e-22	618	+
cg12113898	('CG_of_ESR1_regulated',)	5.903391003235039e-22	619	+
cg25216696	('CG_of_ESR1_regulator',)	5.903391003235039e-22	620	+
cg20716209	('CG_of_ESR1_regulator',)	5.903391003235039e-22	621	+
cg19928764	('CG_of_ESR1_regulated',)	5.903391003235039e-22	622	+
cg20031401	('CG_of_ESR1_regulated',)	5.903391003235039e-22	623	+
cg21974996	('CG_of_ESR1_regulated',)	5.903391003235039e-22	624	+
cg26248586	('CG_of_ESR1_regulated',)	5.903391003235039e-22	625	+
cg23779992	('CG_of_ESR1_regulated',)	5.903391003235039e-22	626	+
cg19828022	('CG_of_ESR1_regulated',)	5.903391003235039e-22	627	+
cg01693305	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	628	+
cg05919105	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	629	+
cg01962821	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	630	+
cg00091302	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	631	+
cg03055271	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	632	+
cg06827850	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	633	+
cg01103730	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	634	+
cg04240491	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	635	+
cg01727105	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	636	+
cg05977696	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	637	+
cg03170036	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	638	+
cg02943050	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	639	+
cg03387103	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	640	+
cg08159033	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	641	+
cg03987648	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	642	+
cg08244581	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	643	+
cg02661728	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	644	+
cg07413467	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	645	+
cg00157012	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	646	+
cg06119575	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	647	+
cg01701837	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	648	+
cg05855983	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	649	+
cg00657415	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	650	+
cg00542261	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	651	+
cg03259292	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	652	+
cg00992348	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	653	+
cg07109745	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	654	+
cg08221781	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	655	+
cg05177729	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	656	+
cg02568716	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	657	+
cg03131767	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	658	+
cg03394422	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	659	+
cg02947498	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	660	+
cg08096702	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	661	+
cg05415308	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	662	+
cg01713348	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	663	+
cg02558476	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	664	+
cg05055712	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	665	+
cg03998598	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	666	+
cg01325188	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	667	+
cg02172028	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	668	+
cg07114544	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	669	+
cg02880679	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	670	+
cg07633702	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	671	+
cg04556210	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	672	+
cg00545462	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	673	+
cg01988541	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	674	+
cg02831668	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	675	+
cg08532870	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	676	+
cg11987090	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	677	+
cg10226297	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	678	+
cg17283506	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	679	+
cg11819639	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	680	+
cg12073565	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	681	+
cg09675653	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	682	+
cg17678946	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	683	+
cg13451953	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	684	+
cg11285937	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	685	+
cg17584576	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	686	+
cg17077776	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	687	+
cg11892243	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	688	+
cg12063847	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	689	+
cg08908148	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	690	+
cg10567419	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	691	+
cg11180199	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	692	+
cg16774604	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	693	+
cg11661523	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	694	+
cg10323240	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	695	+
cg17074000	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	696	+
cg13518530	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	697	+
cg20580088	('CG_of_ESR1_regulator',)	4.3148125178442705e-22	698	+
cg18174678	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	699	+
cg25112191	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	700	+
cg27515243	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	701	+
cg19756097	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	702	+
cg27533700	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	703	+
cg24784794	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	704	+
cg26900616	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	705	+
cg20535044	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	706	+
cg25581330	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	707	+
cg20803232	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	708	+
cg19897251	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	709	+
cg26572856	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	710	+
cg20074699	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	711	+
cg20889476	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	712	+
cg19561609	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	713	+
cg18439323	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	714	+
cg27168900	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	715	+
cg18664900	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	716	+
cg22512377	('CG_of_ESR1_regulated',)	4.3148125178442705e-22	717	+
cg22275306	('CG_of_ESR1_regulated',)	0.9204664009836998	1	-
cg03633268	('CG_of_ESR1_regulated',)	0.07943932745631987	2	-
cg17391830	('CG_of_ESR1_regulated',)	6.053404914913308e-05	3	-
cg03228065	('CG_of_ESR1_regulated',)	3.0304882222507592e-05	4	-
cg27647589	('CG_of_ESR1_regulated',)	3.4287374141379544e-06	5	-
cg02385230	('CG_of_ESR1_regulated',)	2.5252914998862736e-09	6	-
cg03190578	('CG_of_ESR1_regulated',)	5.230389947673712e-10	7	-
