ID	gene name	aliases	pubmed count
2563	GABRD	EIG10|EJM7|GEFSP5	36
2564	GABRE	-	34
2565	GABRG1	-	28
2566	GABRG2	CAE2|DEE74|ECA2|EIEE74|FEB8|GEFSP3	159
2567	GABRG3	-	42
2568	GABRP	-	27
2569	GABRR1	-	44
2570	GABRR2	-	35
2571	GAD1	CPSQ1|DEE89|GAD|SCP	150
2572	GAD2	GAD65	126
2574	GAGE2C	CT4.2|GAGE-2|GAGE-2C|GAGE2	11
2576	GAGE4	CT4.4	6
2577	GAGE5	CT4.5	13
2578	GAGE6	CT4.6	6
2579	GAGE7	AL4|CT4.7|GAGE-7	10
2580	GAK	DNAJ26|DNAJC26	104
2581	GALC	-	84
2582	GALE	SDR1E1	66
2583	B4GALNT1	GALGT|GALNACT|GalNAc-T|SPG26	37
2584	GALK1	GALK|GK1|HEL-S-19	102
2585	GALK2	GK2	17
2587	GALR1	GALNR|GALNR1	48
2588	GALNS	GALNAC6S|GAS|GalN6S|MPS4A	83
2589	GALNT1	GALNAC-T1	64
2590	GALNT2	CDG2T|GalNAc-T2	128
2591	GALNT3	GalNAc-T3|HFTC|HFTC1|HHS	77
2592	GALT	-	128
2593	GAMT	CCDS2|HEL-S-20|PIG2|TP53I2	45
2595	GANC	-	56
2596	GAP43	B-50|GAP-43|PP46	87
2597	GAPDH	G3PD|GAPD|HEL-S-162eP	537
2615	LRRC32	CPPRDD|D11S833E|GARP	57
2617	GARS1	CMT2D|DSMAV|GARS|GlyRS|HMN5|HMN5A|SMAD1|SMAJI	159
2618	GART	AIRS|GARS|GARTF|PAIS|PGFT|PRGS	140
2619	GAS1	-	49
2620	GAS2	GAS-2	32
2621	GAS6	AXLLG|AXSF	219
2622	GAS8	CILD33|DRC4|GAS11	30
2623	GATA1	ERYF1|GATA-1|GF-1|GF1|HAEADA|NF-E1|NFE1|XLANP|XLTDA|XLTT	311
2624	GATA2	DCML|IMD21|MONOMAC|NFE1B	297
2625	GATA3	HDR|HDRS	496
2626	GATA4	ASD2|TACHD|TOF|VSD1	315
2627	GATA6	-	205
2628	GATM	AGAT|AT|CCDS3|FRTS|FRTS1|RFS	58
2629	GBA1	GBA|GCB|GLUC	514
2631	NIPSNAP2	GBAS	78
2632	GBE1	APBD|GBE|GSD4	75
2633	GBP1	-	114
2634	GBP2	-	48
2635	GBP3	-	20
2636	GBX1	Huh-17	9
2637	GBX2	-	23
2638	GC	DBP|DBP-maf|DBP/GC|GRD3|Gc-MAF|GcMAF|HEL-S-51|VDB|VDBG|VDBP	379
2639	GCDH	ACAD5|GCD	104
2641	GCG	GLP-1|GLP1|GLP2|GRPP	340
2642	GCGR	GGR|GL-R|MVAH	64
2643	GCH1	DYT14|DYT5|DYT5a|GCH|GTP-CH-1|GTPCH1|HPABH4B	0
2644	GCHFR	GFRP|HsT16933|P35	30
2645	GCK	FGQTL3|GK|GLK|HHF3|HK4|HKIV|HXKP|LGLK|MODY2|PNDM1	346
2646	GCKR	FGQTL5|GKRP	225
2647	BLOC1S1	BLOS1|BORCS1|GCN5L1|MICoA|RT14	50
2648	KAT2A	GCN5|GCN5L2|PCAF-b|hGCN5	211
2649	NR6A1	CT150|GCNF|GCNF1|NR61|RTR|hGCNF|hRTR	37
2650	GCNT1	C2GNT|C2GNT-L|C2GNT1|C2GlcNAcT|G6NT|NACGT2|NAGCT2	46
2651	GCNT2	CCAT|CTRCT13|GCNT2C|GCNT5|IGNT|II|NACGT1|NAGCT1|ULG3|bA360O19.2|bA421M1.1	39
2652	OPN1MW	CBBM|CBD|COD5|GCP|GOP|OPN1MW1	40
2653	GCSH	GCE|NKH	33
2657	GDF1	CERS1|CHTD6|DORV|DTGA3|LAG1|LASS1|RAI|UOG1	26
2658	GDF2	BMP-9|BMP9|HHT5	124
2660	MSTN	GDF8|MSLHP	216
2661	GDF9	POF14	110
2662	GDF10	BIP|BMP-3b|BMP3B	24
2664	GDI1	1A|GDIL|MRX41|MRX48|OPHN2|RABGD1A|RABGDIA|XAP-4|XLID41	108
2665	GDI2	HEL-S-46e|RABGDIB	117
2668	GDNF	ATF|ATF1|ATF2|HFB1-GDNF|HSCR3	245
2669	GEM	KIR	39
2670	GFAP	ALXDRD	351
2671	GFER	ALR|ERV1|HERV1|HPO|HPO1|HPO2|HSS|MMCHD|MPMCD	125
2672	GFI1	GFI-1|GFI1A|SCN2|ZNF163	89
2673	GFPT1	CMS12|CMSTA1|GFA|GFAT|GFAT 1|GFAT1|GFAT1m|GFPT|GFPT1L|MSLG	147
2674	GFRA1	GDNFR|GDNFR-alpha-1|GDNFRA|GFR-ALPHA-1|GFRalpha-1|RET1L|RETL1|RHDA4|TRNR1	91
2675	GFRA2	GDNFRB|NRTNR-ALPHA|NTNRA|RETL2|TRNR2	37
2676	GFRA3	GDNFR3	30
2677	GGCX	VKCFD1	129
2678	GGT1	CD224|D22S672|D22S732|GGT|GGT 1|GGTD|GTG	253
2681	GGTA1	GGTA|GGTA1P|GLYT2|a1/3GTP	11
2683	B4GALT1	B4GAL-T1|CDG2D|GGTB2|GT1|GTB|beta4Gal-T1	109
2686	GGT7	D20S101|GGT4|GGTL3|GGTL5	42
2687	GGT5	GGL|GGT 5|GGT-REL|GGTLA1	26
2688	GH1	GH|GH-N|GHB5|GHN|IGHD1A|IGHD1B|IGHD2|hGH-N	460
2689	GH2	GH-V|GHB2|GHL|GHV|hGH-V	46
2690	GHR	GHBP|GHIP	344
2691	GHRH	GHRF|GRF|INN	80
2692	GHRHR	GHRFR|GRFR|IGHD1B|IGHD4	102
2693	GHSR	GHDP	168
2694	CBLIF	GIF|IF|IFMH|INF|TCN3	30
2695	GIP	-	106
2696	GIPR	PGQTL2	86
2697	GJA1	AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA	728
2700	GJA3	CTRCT14|CX46|CZP3	74
2701	GJA4	CX37	100
2702	GJA5	ATFB11|CX40	100
2703	GJA8	CAE|CAE1|CTRCT1|CX50|CZP1|MP70	91
2705	GJB1	CMTX|CMTX1|CX32	242
2706	GJB2	BAPS|CX26|DFNA3|DFNA3A|DFNB1|DFNB1A|HID|KID|NSRD1|PPK	844
2707	GJB3	CX31|DFNA2|DFNA2B|EKV|EKVP1	75
2709	GJB5	CX31.1	21
2710	GK	GK1|GKD	41
2712	GK2	GKP2|GKTA	14
2713	GK3	GK3P|GKP3|GKTB	9
2717	GLA	GALA	275
2719	GPC3	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1	253
2720	GLB1	EBP|ELNR1|MPS4B	164
2729	GCLC	GCL|GCS|GLCL|GLCLC	141
2730	GCLM	GLCLR	110
2731	GLDC	GCE|GCSP|HYGN1	62
2733	GLE1	CAAHC|CAAHD|GLE1L|LCCS|LCCS1|hGLE1	68
2734	GLG1	CFR-1|ESL-1|MG-160|MG160	85
2735	GLI1	GLI|PAPA8|PPD1	456
2736	GLI2	CJS|HPE9|PHS2|THP1|THP2	215
2737	GLI3	ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV	210
2738	GLI4	HKR4|ZNF928	13
2739	GLO1	GLOD1|GLYI|HEL-S-74	191
2740	GLP1R	GLP-1|GLP-1-R|GLP-1R	273
2741	GLRA1	HKPX1|STHE	142
2742	GLRA2	GLR|MRXSP	26
2743	GLRB	HKPX2	52
2744	GLS	AAD20|CASGID|DEE71|EIEE71|GAC|GAM|GDPAG|GLS1|KGA	176
2745	GLRX	GRX|GRX1	109
2746	GLUD1	GDH|GDH1|GLUD|hGDH1	235
2747	GLUD2	GDH2|GLUDP1	71
2752	GLUL	GLNS|GS|PIG43|PIG59	156
2760	GM2A	GM2-AP|GM2AP|SAP-3	62
2762	GMDS	GMD|SDR3E1	59
2764	GMFB	GMF	30
2765	GML	LY6DL	9
2766	GMPR	GMPR 1|GMPR1	35
2767	GNA11	FBH|FBH2|FHH2|GNA-11|HG1K|HHC2|HYPOC2	174
2768	GNA12	HG1M1|NNX3|RMP|gep	119
2769	GNA15	GNA16|HG1L	49
2770	GNAI1	Gi|HG1B|NEDHISB	233
2771	GNAI2	GIP|GNAI2B|HG1C|H_LUCA15.1|H_LUCA16.1	227
2773	GNAI3	87U6|ARCND1|ARCODS|HG1A	196
2774	GNAL	DYT25|HG1O	58
2775	GNAO1	DEE17|EIEE17|G-ALPHA-o|GNAO|HG1G|HLA-DQB1|NEDIM	129
2776	GNAQ	CMAL|CMC1|G-ALPHA-q|GAQ|SWS	330
2778	GNAS	AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|PITA3|POH|SCG6|SgVI	634
2779	GNAT1	CSNB1G|CSNBAD3|GBT1|GNATR|HG1F	40
2780	GNAT2	ACHM4|GNATC|HG1D	40
2781	GNAZ	HG1H|gz-alpha	59
2782	GNB1	HG2A|MDS|MRD42	241
2783	GNB2	HG2C1|SSS4|SSS4; NEDHYDF	154
2784	GNB3	CSNB1H|HG2D	425
2785	GNG3	HG3D	30
2786	GNG4	HG3C	32
2787	GNG5	-	49
2788	GNG7	HG3B	43
2790	GNG10	-	25
2791	GNG11	GNGT11|HG3H1	26
2792	GNGT1	GNG1|HG3G1	36
2793	GNGT2	G-GAMMA-8|G-GAMMA-C|GNG9|GNGT8|HG3I	25
2794	GNL1	HSR1	49
2796	GNRH1	GNRH|GRH|LHRH|LNRH	130
2797	GNRH2	GnRH-II|LH-RHII	60
2798	GNRHR	GNRHR1|GRHR|HH7|LHRHR|LRHR	156
2799	GNS	G6S	44
2800	GOLGA1	golgin-97	38
2801	GOLGA2	DEDHMB|GM130	166
2802	GOLGA3	GCP170|MEA-2	90
2803	GOLGA4	CRPF46|GCP2|GOLG|MU-RMS-40.18|p230	80
2804	GOLGB1	GCP|GCP372|GOLIM1	108
2805	GOT1	AST|AST1|ASTQTL1|GIG18|SGOT|cAspAT|cCAT	106
2806	GOT2	DEE82|KAT4|KATIV|KYAT4|mitAAT	99
2810	SFN	YWHAS	291
2811	GP1BA	BDPLT1|BDPLT3|BSS|CD42B|CD42b-alpha|DBPLT3|GP1B|GPIbA|GPIbalpha|VWDP	350
2812	GP1BB	BDPLT1|BS|CD42C|GPIBB|GPIbbeta	88
2813	GP2	ZAP75	41
2814	GP5	CD42d|GPV	41
2815	GP9	CD42a|GPIX	77
2817	GPC1	glypican	99
2819	GPD1	GPD-C|GPDH-C|HTGTI	44
2820	GPD2	GDH2|GPDM|mGDH|mGPDH	71
2821	GPI	AMF|GNPI|NLK|PGI|PHI|SA-36|SA36	188
2822	GPLD1	GPIPLD|GPIPLDM|PIGPLD|PIGPLD1|PLD	62
2823	GPM6A	GPM6|M6A	54
2824	GPM6B	M6B	36
2825	CMKLR2	GPR1	31
2826	CCR10	GPR2	46
2827	GPR3	ACCA	28
2828	GPR4	GPR6C.l	35
2829	XCR1	CCXCR1|GPR5	42
2830	GPR6	-	12
2831	NPBWR1	GPR7	17
2832	NPBWR2	GPR8	15
2833	CXCR3	CD182|CD183|CKR-L2|CMKAR3|GPR9|IP10-R|Mig-R|MigR	329
2834	PRLHR	GPR10|GR3|PrRPR	29
2835	GPR12	GPCR12|GPCR21|PPP1R84	15
2837	UTS2R	GPR14|UR-2-R|UTR|UTR2	44
2838	GPR15	BOB	42
2840	GPR17	-	40
2841	GPR18	DRV2	24
2842	GPR19	-	14
2843	GPR20	-	7
2844	GPR21	-	13
2845	GPR22	-	12
2846	LPAR4	GPR23|LPA4|P2RY9|P2Y5-LIKE|P2Y9	27
2847	MCHR1	GPR24|MCH-1R|MCH1R|SLC-1|SLC1	47
2848	GPR25	-	10
2849	GPR26	-	15
2850	GPR27	SREB1	4
2852	GPER1	CEPR|CMKRL2|DRY12|FEG-1|GPCR-Br|GPER|GPR30|LERGU|LERGU2|LyGPR|mER	301
2853	GPR31	12-HETER|HETER|HETER1	14
2854	GPR32	DRV1|RVDR1	13
2856	GPR33	-	4
2857	GPR34	LPS1|LYPSR1	26
2859	GPR35	-	45
2860	GPR36	-	0
2861	GPR37	EDNRBL|PAELR|hET(B)R-LP	51
2862	MLNR	GPR38|MTLR1	22
2863	GPR39	ZnR	59
2864	FFAR1	FFA1R|GPCR40|GPR40	82
2865	FFAR3	FFA3R|GPR41|GPR42	36
2866	GPR42	FFAR1L|FFAR3L|GPR41L|GPR42P	10
2867	FFAR2	FFA2R|GPR43	65
2868	GRK4	GPRK2L|GPRK4|GRK4a|IT11	73
2869	GRK5	FP2025|GPRK5	116
2870	GRK6	GPRK6	83
2872	MKNK2	GPRK7|MNK2	51
2873	GPS1	COPS1|CSN1|SGN1	136
2874	GPS2	AMF-1	81
2875	GPT	AAT1|ALT|ALT1|GPT1|SGPT	150
2876	GPX1	GPXD|GSHPX1	400
2877	GPX2	GI-GPx|GPRP|GPRP-2|GPx-2|GPx-GI|GSHPX-GI|GSHPx-2	65
2878	GPX3	GPx-P|GSHPx-3|GSHPx-P	122
2879	GPX4	GPx-4|GSHPx-4|MCSP|PHGPx|SMDS|snGPx|snPHGPx	202
2880	GPX5	EGLP|GPx-5|GSHPx-5|HEL-S-75p	19
2882	GPX7	CL683|GPX6|GPx-7|GSHPx-7|NPGPx	40
2885	GRB2	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	906
2886	GRB7	-	98
2887	GRB10	GRB-IR|Grb-10|IRBP|MEG1|RSS	126
2888	GRB14	-	63
2889	RAPGEF1	C3G|GRF2	103
2890	GRIA1	GLUH1|GLUR1|GLURA|GluA1|HBGR1|MRD67|MRT76	150
2891	GRIA2	GLUR2|GLURB|GluA2|GluR-K2|HBGR2|NEDLIB|gluR-2|gluR-B	130
2892	GRIA3	GLUR-C|GLUR-K3|GLUR3|GLURC|GluA3|MRX94|MRXSW|iGluR3	82
2893	GRIA4	GLUR4|GLUR4C|GLURD|GluA4|GluA4-ATD|NEDSGA	69
2894	GRID1	GluD1|GluD1-b	31
2895	GRID2	GluD2|SCAR18	39
2896	GRN	CLN11|GEP|GP88|PCDGF|PEPI|PGRN	578
2897	GRIK1	EAA3|EEA3|GLR5|GLUR5|GluK1|gluR-5	68
2898	GRIK2	EAA4|GLR6|GLUK6|GLUR6|GluK2|MRT6|NEDLAS	106
2899	GRIK3	EAA5|GLR7|GLUR7|GluK3|GluR7a	39
2900	GRIK4	EAA1|GRIK|GluK4|GluK4-2|KA1	40
2901	GRIK5	EAA2|GRIK2|GluK5|KA2	34
2902	GRIN1	DEE101|GluN1|MRD8|NDHMSD|NDHMSR|NMD-R1|NMDA1|NMDAR1|NR1	278
2903	GRIN2A	EPND|FESD|GluN2A|LKS|NMDAR2A|NR2A	266
2904	GRIN2B	DEE27|EIEE27|GluN2B|MRD6|NMDAR2B|NR2B|NR3|hNR3	373
2905	GRIN2C	GluN2C|NMDAR2C|NR2C	87
2906	GRIN2D	DEE46|EB11|EIEE46|GluN2D|NMDAR2D|NR2D	89
2907	GRINA	HNRGW|LFG1|NMDARA1|TMBIM3	51
2908	NR3C1	GCCR|GCR|GCRST|GR|GRL	1249
2909	ARHGAP35	GRF-1|GRLF1|P190-A|P190A|p190ARhoGAP|p190RhoGAP	102
2911	GRM1	GPRC1A|MGLU1|MGLUR1|PPP1R85|SCA44|SCAR13	139
2912	GRM2	GLUR2|GPRC1B|MGLUR2|mGlu2	61
2913	GRM3	GLUR3|GPRC1C|MGLUR3|mGlu3	102
2914	GRM4	GPRC1D|MGLUR4|mGlu4	53
2915	GRM5	GPRC1E|MGLUR5|PPP1R86|mGlu5	129
2916	GRM6	CSNB1B|GPRC1F|MGLUR6|mGlu6	30
2917	GRM7	GLUR7|GPRC1G|MGLU7|MGLUR7|NEDSHBA|PPP1R87	82
2918	GRM8	GLUR8|GPRC1H|MGLUR8|mGlu8	45
2919	CXCL1	FSP|GRO1|GROa|MGSA|MGSA-a|NAP-3|SCYB1	289
2920	CXCL2	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	111
2921	CXCL3	CINC-2b|GRO3|GROg|MIP-2b|MIP2B|SCYB3	65
2922	GRP	BN|GRP-10|preproGRP|proGRP	93
2923	PDIA3	ER60|ERp57|ERp60|ERp61|GRP57|GRP58|HEL-S-269|HEL-S-93n|HsT17083|P58|PI-PLC	346
2925	GRPR	BB2|BB2R|BRS2	68
2926	GRSF1	-	97
2928	GSC2	GSCL	11
2931	GSK3A	-	216
2932	GSK3B	-	1460
2934	GSN	ADF|AGEL	341
2935	GSPT1	551G9.2|ETF3A|GST1|eRF3a	124
2936	GSR	GR|GSRD|HEL-75|HEL-S-122m	112
2937	GSS	GSHS|HEL-S-64p|HEL-S-88n	71
2938	GSTA1	GST-epsilon|GST2|GSTA1-1|GTH1	219
2939	GSTA2	GST2|GSTA2-2|GTA2|GTH2	64
2940	GSTA3	GSTA3-3|GTA3	30
2941	GSTA4	GSTA4-4|GTA4	67
2944	GSTM1	GST1|GSTM1-1|GSTM1a-1a|GSTM1b-1b|GTH4|GTM1|H-B|MU|MU-1	2252
2946	GSTM2	GST4|GSTM|GSTM2-2|GTHMUS	79
2947	GSTM3	GST5|GSTB|GSTM3-3|GSTM3TV2|GTM3|hGSTM3-3	207
2948	GSTM4	GSTM4-4|GTM4	48
2949	GSTM5	GSTM5-5|GTM5	37
2950	GSTP1	DFN7|FAEES3|GST3|GSTP|HEL-S-22|PI	1686
2952	GSTT1	-	1887
2953	GSTT2	-	47
2954	GSTZ1	GSTZ1-1|MAAI|MAAID|MAI	84
2956	MSH6	GTBP|GTMBP|HNPCC5|HSAP|LYNCH5|MMRCS3|MSH-6|p160	498
2957	GTF2A1	TF2A1|TFIIA|TFIIA-42|TFIIAL	101
2958	GTF2A2	HsT18745|T18745|TF2A2|TFIIA|TFIIA-12|TFIIA-gamma|TFIIAS	49
2959	GTF2B	TF2B|TFIIB	189
2960	GTF2E1	FE|TF2E1|TFIIE-A	86
2961	GTF2E2	FE|TF2E2|TFIIE-B|TTD6	92
2962	GTF2F1	BTF4|RAP74|TF2F1|TFIIF	156
2963	GTF2F2	BTF4|RAP30|TF2F2|TFIIF	123
2965	GTF2H1	BTF2|P62|TFB1|TFIIH	158
2966	GTF2H2	BTF2|BTF2 p44|BTF2P44|T-BTF2P44|TFIIH|p44	104
2967	GTF2H3	BTF2|P34|TFB4|TFIIH	80
2968	GTF2H4	P52|TFB2|TFIIH	105
2969	GTF2I	BAP135|BTKAP1|DIWS|GTFII-I|IB291|SPIN|TFII-I|WBS|WBSCR6	292
2971	GTF3A	AP2|TFIIIA	26
2972	BRF1	BRF|BRF-1|CFDS|GTF3B|HEL-S-76p|TAF3B2|TAF3C|TAFIII90|TF3B90|TFIIIB90|hBRF	73
2975	GTF3C1	TFIIIC|TFIIIC220|TFIIICalpha	126
2976	GTF3C2	TF3C-beta|TFIIIC-BETA|TFIIIC110	91
2977	GUCY1A2	GC-SA2|GUC1A2	30
2978	GUCA1A	C6orf131|COD3|CORD14|GCAP|GCAP1|GUCA|GUCA1	0
2979	GUCA1B	GCAP 2|GCAP2|GUCA2|RP48	23
2980	GUCA2A	GCAP-I|GUCA2|STARA	28
2981	GUCA2B	GCAP-II|UGN	33
2982	GUCY1A1	GC-S-alpha-1|GC-SA3|GCS-alpha-3|GUC1A3|GUCA3|GUCSA3|GUCY1A3|MYMY6	56
2983	GUCY1B1	GC-S-beta-1|GC-SB3|GUC1B3|GUCB3|GUCSB3|GUCY1B3	43
2984	GUCY2C	DIAR6|GC-C|GUC2C|MECIL|MUCIL|STAR	62
2986	GUCY2F	CYGF|GC-F|GUC2DL|GUC2F|RETGC-2|ROS-GC2	12
2987	GUK1	GMK	29
2988	GUK2	-	0
2990	GUSB	BG|MPS7	86
2992	GYG1	GSD15|GYG	56
2993	GYPA	CD235a|GPA|GPErik|GPSAT|HGpMiV|HGpMiXI|HGpSta(C)|MN|MNS|PAS-2	115
2994	GYPB	CD235b|GPB|GYP|GYPA|MNS|PAS-3|SS	71
2995	GYPC	CD236|CD236R|GE|GPC|GPD|GYPD|PAS-2|PAS-2'	47
2996	GYPE	GPE|GYPA|MNS|MiIX	15
2997	GYS1	GSY|GYS	112
2998	GYS2	-	27
2999	GZMH	CCP-X|CGL-2|CSP-C|CTLA1|CTSGL2	30
3000	GUCY2D	CACD|CACD1|CG-E|CORD5|CORD6|CSNB1I|CYGD|GUC1A4|GUC2D|LCA|LCA1|RCD2|RETGC-1|ROS-GC1|ROSGC|retGC	101
3001	GZMA	CTLA3|HFSP	78
3002	GZMB	C11|CCPI|CGL-1|CGL1|CSP-B|CSPB|CTLA1|CTSGL1|HLP|SECT	329
3003	GZMK	TRYP2	29
3004	GZMM	LMET1|MET1	28
3005	H1-0	H1.0|H10|H1F0|H1FV	156
3006	H1-2	H1.2|H1C|H1F2|H1s-1|HIST1H1C	212
3007	H1-3	H1.3|H1D|H1F3|H1s-2|HIST1H1D	128
3008	H1-4	H1.4|H1E|H1F4|H1s-4|HIST1H1E|RMNS|dJ221C16.5	147
3009	H1-5	H1|H1.5|H1B|H1F5|H1s-3|HIST1H1B	160
3010	H1-6	H1.6|H1FT|H1t|HIST1H1T|dJ221C16.2	49
3012	H2AC8	H2A.1|H2A.2|H2A/a|H2AC4|H2AFA|HIST1H2AE	61
3013	H2AC7	H2A.3|H2A/g|H2AFG|HIST1H2AD	51
3014	H2AX	H2A.X|H2A/X|H2AFX	539
3015	H2AZ1	H2A.Z-1|H2A.z|H2A/z|H2AFZ|H2AZ	197
3017	H2BC5	H2B.1B|H2B/a|H2B/b|H2B/g|H2B/h|H2B/k|H2B/l|H2BFA|H2BFB|H2BFG|H2BFH|H2BFK|H2BFL|HIRIP2|HIST1H2BC|HIST1H2BD|HIST1H2BE|HIST1H2BF|HIST1H2BG|HIST1H2BI|dJ221C16.6	77
3018	H2BC3	H2B.1|H2B/f|H2BFF|HIST1H2BB	146
3020	H3-3A	BRYLIB1|H3-3B|H3.3A|H3F3|H3F3A	233
3021	H3-3B	BRYLIB2|H3-3A|H3.3B|H3F3B	112
3024	H1-1	H1.1|H1A|H1F1|HIST1|HIST1H1A	188
3026	HABP2	FSAP|HABP|HGFAL|NMTC5|PHBP	102
3028	HSD17B10	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|HSD10MD|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	200
3029	HAGH	GLO2|GLX2|GLXII|HAGH1	69
3030	HADHA	ECHA|GBP|HADH|LCEH|LCHAD|MTPA|TP-ALPHA	281
3032	HADHB	ECHB|MSTP029|MTPB|MTPD|MTPD2|TP-BETA	189
3033	HADH	HAD|HADH1|HADHSC|HCDH|HHF4|MSCHAD|SCHAD	82
3034	HAL	HIS|HSTD	33
3035	HARS1	CMT2W|HARS|HRS|USH3B	74
3036	HAS1	HAS	67
3037	HAS2	-	110
3038	HAS3	-	51
3039	HBA1	ECYT7|HBA-T3|HBH|METHBA	655
3040	HBA2	ECYT7|HBA-T2|HBH	322
3042	HBM	HBAP2|HBK	12
3043	HBB	CD113t-C|ECYT6|beta-globin	838
3045	HBD	-	0
3046	HBE1	HBE	105
3047	HBG1	HBG-T2|HBGA|HBGR|HSGGL1|PRO2979	201
3048	HBG2	HBG-T1|TNCY	177
3049	HBQ1	HBQ	18
3050	HBZ	HBAZ|HBZ-T1|HBZ1	49
3052	HCCS	CCHL|LSDMCA1|MCOPS7|MLS	59
3053	SERPIND1	D22S673|HC2|HCF2|HCII|HLS2|LS2|THPH10	66
3054	HCFC1	CFF|HCF|HCF-1|HCF1|HFC1|MAHCX|MRX3|PPP1R89|VCAF|XLID3	256
3055	HCK	AIPCV|JTK9|p59Hck|p61Hck	252
3059	HCLS1	CTTNL|HS1|lckBP1|p75	67
3060	HCRT	NRCLP1|OX|PPOX	147
3061	HCRTR1	ORXR1|OX1R|OXR1	82
3062	HCRTR2	ORXR2|OX2R|OXR2	81
3064	HTT	HD|IT15|LOMARS	772
3065	HDAC1	GON-10|HD1|KDAC1|RPD3|RPD3L1	1254
3066	HDAC2	HD2|KDAC2|RPD3|YAF1	752
3067	HDC	-	62
3068	HDGF	HMG1L2	0
3069	HDLBP	HBP|PRO2900|VGL	160
3070	HELLS	ICF4|LSH|Nbla10143|PASG|SMARCA6	125
3071	NCKAP1L	HEM1|IMD72	27
3073	HEXA	TSD	151
3074	HEXB	ENC-1AS|HEL-248|HEL-S-111	130
3075	CFH	AHUS1|AMBP1|ARMD4|ARMS1|CFHL3|FH|FHL1|HF|HF1|HF2|HUS	877
3077	HFE	HFE1|HH|HLA-H|MVCD7|TFQTL2	993
3078	CFHR1	CFHL|CFHL1|CFHL1P|CFHR1P|FHL-1|FHR-1|FHR1|H36|H36-1|H36-2|HFL1|HFL2	104
3080	CFHR2	CFHL2|FHR2|HFL3	26
3081	HGD	AKU|HGO	49
3082	HGF	DFNB39|F-TCF|HGFB|HPTA|SF	825
3083	HGFAC	HGFA	31
3084	NRG1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	549
3087	HHEX	HEX|HMPH|HOX11L-PEN|PRH|PRHX	183
3090	HIC1	ZBTB29|ZNF901|hic-1	86
3091	HIF1A	HIF-1-alpha|HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78	3764
3092	HIP1	HIP-I|ILWEQ|SHON|SHONbeta|SHONgamma	117
3093	UBE2K	E2-25K|HIP2|HYPG|LIG|UBC1	123
3094	HINT1	HINT|NMAN|PKCI-1|PRKCNH1	127
3096	HIVEP1	CIRIP|CRYBP1|GAAP|MBP-1|PRDII-BF1|Schnurri-1|ZAS1|ZNF40|ZNF40A	64
3097	HIVEP2	HIV-EP2|MBP-2|MIBP1|MRD43|SHN2|ZAS2|ZNF40B	41
3098	HK1	HK|HK1-ta|HK1-tb|HK1-tc|HKD|HKI|HMSNR|HXK1|NEDVIBA|NMSR|RP79|hexokinase	177
3099	HK2	HKII|HXK2	291
3101	HK3	HKIII|HXK3	36
3104	ZBTB48	HKR3|TZAP|ZNF855|pp9964	36
3105	HLA-A	HLAA	1609
3106	HLA-B	AS|B-4901|HLAB	2155
3107	HLA-C	D6S204|HLA-JY3|HLAC|HLC-C|MHC|PSORS1	1060
3108	HLA-DMA	D6S222E|DMA|HLADM|RING6	117
3109	HLA-DMB	D6S221E|RING7	125
3110	MNX1	HB9|HLXB9|HOXHB9|SCRA1	62
3111	HLA-DOA	HLA-DNA|HLA-DZA|HLADZ	86
3112	HLA-DOB	DOB|HLA_DOB	75
3113	HLA-DPA1	DP(W3)|DP(W4)|DPA1|HLA-DP1A|HLA-DPA|HLA-DPB1|HLADP|HLASB|PLT1	170
3115	HLA-DPB1	DPB1|HLA-DP|HLA-DP1B|HLA-DPB	424
3117	HLA-DQA1	CELIAC1|DQ-A1|DQA1|HLA-DQA|HLA-DQA1*|HLA-DQB1	831
3118	HLA-DQA2	DC-alpha|DQA1|DX-ALPHA|HLA-DCA|HLA-DXA|HLADQA2	93
3119	HLA-DQB1	CELIAC1|HLA-DQB|IDDM1	1545
3120	HLA-DQB2	DQB2|HLA-DQB1|HLA-DXB	72
3121	HLA-DQB3	D6S205|D6S205E|DQB3|DVB|DVbeta|HLA-DVB	0
3122	HLA-DRA	HLA-DRA1	298
3123	HLA-DRB1	DRB1|HLA-DR1B|HLA-DRB|SS1	2840
3125	HLA-DRB3	DRB3|HLA-DPB1|HLA-DR1B|HLA-DR3B|HLA-DRB3*	212
3126	HLA-DRB4	DR4|DRB4|HLA-DR4B|HLA-DRB|HLA-DRB4*	194
3127	HLA-DRB5	DRB5|HLA-DRB5*	208
3131	HLF	-	55
